imdbId,directors,letterboxdAverageScore,letterboxdNumVotes
tt0025464,W.S. Van Dyke,3.43,3026
tt0025465,Dwain Esper,2.43,2527
tt0025493,Ernst Lubitsch,3.69,2793
tt0025529,Mitchell Leisen,3.1,1455
tt0025586,John Cromwell,3.31,8257
tt0025601,Victor Schertzinger,2.93,596
tt0025610,King Vidor,3.7,2608
tt0025746,Josef von Sternberg,3.89,9151
tt0025862,Cedric Gibbons,3.43,1917
tt0025878,W.S. Van Dyke,3.96,31896
tt0025907,Victor Fleming,3.43,1158
tt0025919,Howard Hawks,3.58,9012
tt0025948,Jack Conway,3.13,804
tt0026029,Alfred Hitchcock,3.77,67355
tt0026056,George Stevens,3.32,2753
tt0026097,Howard Hawks,3.38,1344
tt0026138,James Whale,3.98,94369
tt0026144,Roy Del Ruth,3.3,1287
tt0026174,Michael Curtiz,3.71,10090
tt0026205,Tay Garnett,3.27,1221
tt0026246,Josef von Sternberg,3.34,1789
tt0026261,Alfred E. Green,3.21,2194
tt0026264,Sidney Franklin,3.29,430
tt0026266,George Cukor,3.41,1965
tt0026276,Josef von Sternberg,3.6,5133
tt0026417,W.S. Van Dyke,3.23,312
tt0026421,Busby Berkeley,3.39,1914
tt0026529,John Ford,3.7,5627
tt0026643,Henry Hathaway,3.29,1256
tt0026663,Karl Freund,3.64,7415
tt0026685,Tod Browning,3.12,5539
tt0026752,Frank Lloyd,3.68,14508
tt0026768,"W.S. Van Dyke,Robert Z. Leonard",3.18,799
tt0026778,Sam Wood,3.89,26958
tt0026866,Henry Hathaway,3.5,2582
tt0026942,William A. Seiter,3.36,2093
tt0026955,Leo McCarey,3.87,3376
tt0026966,Zoltan Korda,2.85,438
tt0026983,"Irving Pichel,Lansing C. Holden",3.2,1048
tt0027075,Jack Conway,3.65,2258
tt0027125,Mark Sandrich,3.83,24764
tt0027214,John Ford,3.58,4103
tt0027260,W.S. Van Dyke,3.77,10296
tt0027300,Mervyn LeRoy,2.93,954
tt0027302,Lewis Milestone,3.0,1099
tt0027367,Archie Mayo,3.4,3153
tt0027421,David Butler,3.36,541
tt0027438,Michael Curtiz,3.3,1698
tt0027459,"William Wyler,Howard Hawks,Richard Rosson",3.37,1466
tt0027515,Frank Borzage,3.58,2890
tt0027532,William Wyler,3.79,6526
tt0027545,Lambert Hillyer,3.22,14983
tt0027630,Mark Sandrich,3.47,2533
tt0027698,Robert Z. Leonard,2.97,6565
tt0027884,Jack Conway,3.76,6848
tt0027893,John Cromwell,3.4,830
tt0027914,W.S. Van Dyke,3.18,1039
tt0027977,Charlie Chaplin,4.27,207281
tt0027996,Frank Capra,3.87,15005
tt0028021,Kenji Mizoguchi,3.67,4879
tt0028029,Edward H. Griffith,3.3,574
tt0028096,Archie Mayo,3.64,7685
tt0028167,Alexander Korda,3.52,1116
tt0028174,Victor Halperin,2.21,1059
tt0028203,George Cukor,3.09,1449
tt0028216,W.S. Van Dyke,3.36,2833
tt0028231,Alfred Hitchcock,3.17,5795
tt0028249,James Whale,3.43,3049
tt0028333,George Stevens,3.6,15663
tt0028345,Richard Thorpe,3.17,856
tt0028346,Louis J. Gasnier,2.08,10138
tt0028356,William Wyler,3.48,2037
tt0028358,William Cameron Menzies,3.29,7966
tt0028373,Henry Koster,3.25,781
tt0028597,Leo McCarey,3.88,24056
tt0028665,Roy Del Ruth,3.26,623
tt0028691,Victor Fleming,3.79,5756
tt0028739,Clarence Brown,3.2,616
tt0028757,George Stevens,3.34,1411
tt0028772,Sam Wood,3.72,8362
tt0028773,William Wyler,3.56,6432
tt0028827,"Zoltan Korda,Robert Flaherty",3.25,468
tt0028944,Sidney Franklin,3.19,2064
tt0029002,Frank Borzage,3.91,5752
tt0029047,Henry King,3.21,1396
tt0029080,Michael Curtiz,3.43,1769
tt0029146,William Dieterle,3.27,6801
tt0029162,Frank Capra,3.6,7055
tt0029192,Leo McCarey,4.23,17606
tt0029217,Lloyd Bacon,3.5,3201
tt0029222,Robert Z. Leonard,3.42,341
tt0029284,Garson Kanin,3.57,9373
tt0029322,William A. Wellman,3.33,5411
tt0029440,William Keighley,3.42,749
tt0029442,John Cromwell,3.69,2000
tt0029454,George Stevens,3.19,491
tt0029588,Victor Schertzinger,3.23,371
tt0029594,Joris Ivens,3.36,780
tt0029604,Gregory La Cava,3.9,7493
tt0029606,William A. Wellman,3.62,11602
tt0029608,King Vidor,3.82,9944
tt0029682,Norman Z. McLeod,3.41,4220
tt0029747,James W. Horne,3.75,5204
tt0029808,Fritz Lang,3.76,9330
tt0029843,"Michael Curtiz,William Keighley",3.85,37605
tt0029852,Henry King,3.27,893
tt0029929,Ernst Lubitsch,3.61,6819
tt0029942,Norman Taurog,3.43,2885
tt0029947,Howard Hawks,4.0,84743
tt0029971,Mark Sandrich,3.41,3597
tt0029992,Edwin L. Marin,3.48,8202
tt0029995,King Vidor,3.33,945
tt0030149,Michael Curtiz,3.33,1241
tt0030241,George Cukor,3.95,25662
tt0030287,William Wyler,3.53,13643
tt0030341,Alfred Hitchcock,3.9,55950
tt0030637,"Leslie Howard,Anthony Asquith",3.71,7878
tt0030643,Marcel Carné,3.93,11378
tt0030696,William A. Seiter,3.21,3416
tt0030764,Lloyd Bacon,3.41,1016
tt0030848,Victor Fleming,3.4,1354
tt0030865,Frank Borzage,3.61,1155
tt0031022,Alfred L. Werker,3.49,3822
tt0031047,W.S. Van Dyke,3.55,5776
tt0031060,Edward Buzzell,3.4,3678
tt0031066,Busby Berkeley,2.91,2468
tt0031067,Garson Kanin,3.69,2922
tt0031088,William A. Wellman,3.62,2153
tt0031210,Edmund Goulding,3.65,8070
tt0031225,George Marshall,3.8,9834
tt0031235,Michael Curtiz,3.48,2659
tt0031252,John Ford,3.45,3952
tt0031260,William Keighley,3.51,1700
tt0031322,A. Edward Sutherland,3.4,2942
tt0031385,Sam Wood,3.71,4409
tt0031397,Dave Fleischer,3.18,3508
tt0031398,George Stevens,3.41,6540
tt0031448,Sidney Lanfield,3.55,7260
tt0031473,Clarence Brown,3.23,639
tt0031477,John Cromwell,3.3,2133
tt0031491,Gregory Ratoff,3.21,1541
tt0031505,Alfred Hitchcock,3.03,8352
tt0031514,Marcel Carné,3.86,8813
tt0031516,William Dieterle,3.19,702
tt0031580,Walter Lang,3.42,3533
tt0031593,Leo McCarey,3.67,8150
tt0031614,Nick Grindé,3.37,1769
tt0031679,Frank Capra,4.12,58511
tt0031725,Ernst Lubitsch,3.94,24740
tt0031742,Lewis Milestone,3.75,4161
tt0031762,Howard Hawks,4.09,22881
tt0031867,Raoul Walsh,3.98,12269
tt0031885,Jean Renoir,4.07,48047
tt0031951,Rowland V. Lee,3.46,13167
tt0031971,John Ford,3.97,74127
tt0032049,Rowland V. Lee,3.23,1690
tt0032138,Victor Fleming,3.96,632572
tt0032143,George Cukor,3.81,13758
tt0032145,William Wyler,3.63,18606
tt0032155,John Ford,3.86,12683
tt0032181,John Cromwell,3.42,746
tt0032209,"Ben Hecht,Lee Garmes",3.27,945
tt0032215,William Nigh,2.41,1631
tt0032234,Edward F. Cline,3.49,5795
tt0032258,Arthur Lubin,3.06,2654
tt0032338,Preston Sturges,3.72,6928
tt0032342,"Anatole Litvak,Jean Negulesco",3.51,1126
tt0032376,Dorothy Arzner,3.53,8509
tt0032383,Raoul Walsh,3.36,1104
tt0032390,Jean Yarbrough,2.71,3838
tt0032412,Ernest B. Schoedsack,3.12,1694
tt0032455,"Wilfred Jackson,Bill Roberts,Paul Satterfield,Samuel Armstrong,Jim Handley,T. Hee,Hamilton Luske,Ben Sharpsteen,James Algar,Norman Ferguson,David Hand,Ford Beebe Jr.",3.9,230276
tt0032467,William Keighley,3.25,486
tt0032475,"Ford Beebe,Ray Taylor",3.29,361
tt0032484,Alfred Hitchcock,3.71,23073
tt0032536,Edward Buzzell,3.35,3169
tt0032551,John Ford,4.17,47624
tt0032553,Charlie Chaplin,4.32,142575
tt0032554,Preston Sturges,3.52,4987
tt0032599,Howard Hawks,4.04,93342
tt0032610,Joe May,3.39,860
tt0032617,W.S. Van Dyke,3.57,2442
tt0032671,Sam Wood,3.33,2596
tt0032701,William Wyler,3.66,10990
tt0032728,John Ford,3.65,4366
tt0032762,Rouben Mamoulian,3.68,5910
tt0032828,Edward F. Cline,3.28,1724
tt0032842,Carol Reed,3.6,4756
tt0032851,King Vidor,3.38,1067
tt0032871,"Hal Roach,Hal Roach, Jr.",2.93,732
tt0032881,Sam Wood,3.04,1777
tt0032904,George Cukor,4.0,75456
tt0032910,"Hamilton Luske,Ben Sharpsteen,Norman Ferguson,T. Hee,Jack Kinney,Bill Roberts,Wilfred Jackson",3.48,291409
tt0032976,Alfred Hitchcock,4.12,123981
tt0032983,Fritz Lang,3.27,1930
tt0032993,Victor Schertzinger,3.1,1548
tt0033021,Michael Curtiz,2.81,1381
tt0033028,Michael Curtiz,3.67,4259
tt0033045,Ernst Lubitsch,4.17,68062
tt0033105,Frank Borzage,3.36,1820
tt0033107,Boris Ingster,3.43,3901
tt0033149,Raoul Walsh,3.53,7141
tt0033152,"Ludwig Berger,Michael Powell,Tim Whelan",3.7,11563
tt0033238,Mervyn LeRoy,3.87,6186
tt0033253,William Wyler,3.57,4189
tt0033337,Stuart Heisler,3.26,641
tt0033373,Howard Hawks,3.95,19409
tt0033388,Charles Reisner,3.29,2833
tt0033405,Rouben Mamoulian,3.31,2089
tt0033407,Mervyn LeRoy,3.3,1138
tt0033467,Orson Welles,4.2,493395
tt0033532,William Dieterle,3.74,5065
tt0033533,Sam Wood,3.7,3132
tt0033553,Victor Fleming,3.29,5587
